Kode,Provinsi,Kabupaten/Kota,Kecamatan,Desa/Kelurahan
32.01.01.1001,Jawa Barat,Kabupaten Bogor,Cibinong,Pondok Rajeg
32.01.01.1002,Jawa Barat,Kabupaten Bogor,Cibinong,Karadenan
32.01.01.1003,Jawa Barat,Kabupaten Bogor,Cibinong,Harapanjaya
32.01.01.1004,Jawa Barat,Kabupaten Bogor,Cibinong,Nanggewer
32.01.01.1005,Jawa Barat,Kabupaten Bogor,Cibinong,Nanggewer Mekar
32.01.01.1006,Jawa Barat,Kabupaten Bogor,Cibinong,Cibinong
32.01.01.1007,Jawa Barat,Kabupaten Bogor,Cibinong,Pakansari
32.01.01.1008,Jawa Barat,Kabupaten Bogor,Cibinong,Tengah
32.01.01.1009,Jawa Barat,Kabupaten Bogor,Cibinong,Sukahati
32.01.01.1010,Jawa Barat,Kabupaten Bogor,Cibinong,Ciriung
32.01.01.1011,Jawa Barat,Kabupaten Bogor,Cibinong,Cirimekar
32.01.01.1012,Jawa Barat,Kabupaten Bogor,Cibinong,Pabuaran
32.01.01.1013,Jawa Barat,Kabupaten Bogor,Cibinong,Pabuaran Mekar
32.01.02.2001,Jawa Barat,Kabupaten Bogor,Gunungputri,Wanaherang
32.01.02.2002,Jawa Barat,Kabupaten Bogor,Gunungputri,Bojongkulur
32.01.02.2003,Jawa Barat,Kabupaten Bogor,Gunungputri,Ciangsana
32.01.02.2004,Jawa Barat,Kabupaten Bogor,Gunungputri,Gunungputri
32.01.02.2005,Jawa Barat,Kabupaten Bogor,Gunungputri,Bojongnangka
32.01.02.2006,Jawa Barat,Kabupaten Bogor,Gunungputri,Tlajung Udik
32.01.02.2007,Jawa Barat,Kabupaten Bogor,Gunungputri,Cicadas
32.01.02.2008,Jawa Barat,Kabupaten Bogor,Gunungputri,Cikeas Udik
32.01.02.2009,Jawa Barat,Kabupaten Bogor,Gunungputri,Nagrak
32.01.02.2010,Jawa Barat,Kabupaten Bogor,Gunungputri,Karanggan
32.01.03.1006,Jawa Barat,Kabupaten Bogor,Citeureup,Puspanegara
32.01.03.1007,Jawa Barat,Kabupaten Bogor,Citeureup,Karang Asem Barat
32.01.03.2001,Jawa Barat,Kabupaten Bogor,Citeureup,Puspasari
32.01.03.2002,Jawa Barat,Kabupaten Bogor,Citeureup,Citeureup
32.01.03.2003,Jawa Barat,Kabupaten Bogor,Citeureup,Leuwinutug
32.01.03.2004,Jawa Barat,Kabupaten Bogor,Citeureup,Tajur
32.01.03.2005,Jawa Barat,Kabupaten Bogor,Citeureup,Sanja
32.01.03.2008,Jawa Barat,Kabupaten Bogor,Citeureup,Karang Asem Timur
32.01.03.2009,Jawa Barat,Kabupaten Bogor,Citeureup,Tarikolot
32.01.03.2010,Jawa Barat,Kabupaten Bogor,Citeureup,Gunungsari
32.01.03.2011,Jawa Barat,Kabupaten Bogor,Citeureup,Tangkil
32.01.03.2012,Jawa Barat,Kabupaten Bogor,Citeureup,Sukahati
32.01.03.2013,Jawa Barat,Kabupaten Bogor,Citeureup,Hambalang
32.01.03.2014,Jawa Barat,Kabupaten Bogor,Citeureup,Pasir Mukti
32.01.04.2001,Jawa Barat,Kabupaten Bogor,Sukaraja,Gunung Geulis
32.01.04.2002,Jawa Barat,Kabupaten Bogor,Sukaraja,Cilebut Timur
32.01.04.2003,Jawa Barat,Kabupaten Bogor,Sukaraja,Cilebut Barat
32.01.04.2004,Jawa Barat,Kabupaten Bogor,Sukaraja,Cibanon
32.01.04.2005,Jawa Barat,Kabupaten Bogor,Sukaraja,Nagrak
32.01.04.2006,Jawa Barat,Kabupaten Bogor,Sukaraja,Sukatani
32.01.04.2007,Jawa Barat,Kabupaten Bogor,Sukaraja,Sukaraja
32.01.04.2008,Jawa Barat,Kabupaten Bogor,Sukaraja,Cikeas
32.01.04.2009,Jawa Barat,Kabupaten Bogor,Sukaraja,Pasirjambu
32.01.04.2010,Jawa Barat,Kabupaten Bogor,Sukaraja,Cimandala
32.01.04.2011,Jawa Barat,Kabupaten Bogor,Sukaraja,Cijujung
32.01.04.2012,Jawa Barat,Kabupaten Bogor,Sukaraja,Cadasngampar
32.01.04.2013,Jawa Barat,Kabupaten Bogor,Sukaraja,Pasirlaja
32.01.05.2001,Jawa Barat,Kabupaten Bogor,Babakan Madang,Cijayanti
32.01.05.2002,Jawa Barat,Kabupaten Bogor,Babakan Madang,Sumur Batu
32.01.05.2003,Jawa Barat,Kabupaten Bogor,Babakan Madang,Sentul
32.01.05.2004,Jawa Barat,Kabupaten Bogor,Babakan Madang,Karang Tengah
32.01.05.2005,Jawa Barat,Kabupaten Bogor,Babakan Madang,Cipambuan
32.01.05.2006,Jawa Barat,Kabupaten Bogor,Babakan Madang,Kadumanggu
32.01.05.2007,Jawa Barat,Kabupaten Bogor,Babakan Madang,Citaringgul
32.01.05.2008,Jawa Barat,Kabupaten Bogor,Babakan Madang,Babakan Madang
32.01.05.2009,Jawa Barat,Kabupaten Bogor,Babakan Madang,Bojong Koneng
32.01.06.2001,Jawa Barat,Kabupaten Bogor,Jonggol,Sukamaju
32.01.06.2002,Jawa Barat,Kabupaten Bogor,Jonggol,Sirnagalih
32.01.06.2003,Jawa Barat,Kabupaten Bogor,Jonggol,Singajaya
32.01.06.2004,Jawa Barat,Kabupaten Bogor,Jonggol,Sukasirna
32.01.06.2005,Jawa Barat,Kabupaten Bogor,Jonggol,Sukanegara
32.01.06.2006,Jawa Barat,Kabupaten Bogor,Jonggol,Sukamanah
32.01.06.2007,Jawa Barat,Kabupaten Bogor,Jonggol,Weninggalih
32.01.06.2008,Jawa Barat,Kabupaten Bogor,Jonggol,Cibodas
32.01.06.2009,Jawa Barat,Kabupaten Bogor,Jonggol,Jonggol
32.01.06.2010,Jawa Barat,Kabupaten Bogor,Jonggol,Bendungan
32.01.06.2011,Jawa Barat,Kabupaten Bogor,Jonggol,Singasari
32.01.06.2012,Jawa Barat,Kabupaten Bogor,Jonggol,Balekambang
32.01.06.2013,Jawa Barat,Kabupaten Bogor,Jonggol,Sukajaya
32.01.06.2014,Jawa Barat,Kabupaten Bogor,Jonggol,Sukagalih
32.01.07.2001,Jawa Barat,Kabupaten Bogor,Cileungsi,Pasirangin
32.01.07.2002,Jawa Barat,Kabupaten Bogor,Cileungsi,Mekarsari
32.01.07.2003,Jawa Barat,Kabupaten Bogor,Cileungsi,Mampir
32.01.07.2004,Jawa Barat,Kabupaten Bogor,Cileungsi,Dayeuh
32.01.07.2005,Jawa Barat,Kabupaten Bogor,Cileungsi,Gandoang
32.01.07.2006,Jawa Barat,Kabupaten Bogor,Cileungsi,Jatisari
32.01.07.2007,Jawa Barat,Kabupaten Bogor,Cileungsi,Cileungsi Kidul
32.01.07.2008,Jawa Barat,Kabupaten Bogor,Cileungsi,Cipeucang
32.01.07.2009,Jawa Barat,Kabupaten Bogor,Cileungsi,Situsari
32.01.07.2010,Jawa Barat,Kabupaten Bogor,Cileungsi,Cipenjo
32.01.07.2011,Jawa Barat,Kabupaten Bogor,Cileungsi,Limusnunggal
32.01.07.2012,Jawa Barat,Kabupaten Bogor,Cileungsi,Cileungsi
32.01.08.2001,Jawa Barat,Kabupaten Bogor,Cariu,Karyamekar
32.01.08.2002,Jawa Barat,Kabupaten Bogor,Cariu,Babakanraden
32.01.08.2003,Jawa Barat,Kabupaten Bogor,Cariu,Cikutamahi
32.01.08.2004,Jawa Barat,Kabupaten Bogor,Cariu,Kutamekar
32.01.08.2005,Jawa Barat,Kabupaten Bogor,Cariu,Cariu
32.01.08.2006,Jawa Barat,Kabupaten Bogor,Cariu,Mekarwangi
32.01.08.2007,Jawa Barat,Kabupaten Bogor,Cariu,Bantarkuning
32.01.08.2008,Jawa Barat,Kabupaten Bogor,Cariu,Sukajadi
32.01.08.2009,Jawa Barat,Kabupaten Bogor,Cariu,Tegalpanjang
32.01.08.2010,Jawa Barat,Kabupaten Bogor,Cariu,Cibatutiga
32.01.09.2001,Jawa Barat,Kabupaten Bogor,Sukamakmur,Wargajaya
32.01.09.2002,Jawa Barat,Kabupaten Bogor,Sukamakmur,Pabuaran
32.01.09.2003,Jawa Barat,Kabupaten Bogor,Sukamakmur,Sukadamai
32.01.09.2004,Jawa Barat,Kabupaten Bogor,Sukamakmur,Sukawangi
32.01.09.2005,Jawa Barat,Kabupaten Bogor,Sukamakmur,Cibadak
